__main__: 2024-11-18 17:07:02,936 | INFO | asktug.py:59 | 84360 >>> Start to get topics, category_id: 30022, page: 0
__main__: 2024-11-18 17:07:03,422 | INFO | asktug.py:75 | 84360 >>> Start to get accept answer, topic id: 2442
__main__: 2024-11-18 17:07:03,769 | INFO | asktug.py:43 | 84360 >>> Got accept answer of topic: 2442, post: 10297
__main__: 2024-11-18 17:07:03,769 | INFO | asktug.py:75 | 84360 >>> Start to get accept answer, topic id: 2442
__main__: 2024-11-18 17:07:04,130 | INFO | asktug.py:43 | 84360 >>> Got accept answer of topic: 2442, post: 10297
__main__: 2024-11-18 17:07:04,130 | INFO | asktug.py:75 | 84360 >>> Start to get accept answer, topic id: 2442
__main__: 2024-11-18 17:07:04,366 | INFO | asktug.py:43 | 84360 >>> Got accept answer of topic: 2442, post: 10297
__main__: 2024-11-18 17:07:04,366 | INFO | asktug.py:75 | 84360 >>> Start to get accept answer, topic id: 2442
__main__: 2024-11-18 17:07:04,602 | INFO | asktug.py:43 | 84360 >>> Got accept answer of topic: 2442, post: 10297
__main__: 2024-11-18 17:07:04,602 | INFO | asktug.py:75 | 84360 >>> Start to get accept answer, topic id: 2442
__main__: 2024-11-18 17:07:04,855 | INFO | asktug.py:43 | 84360 >>> Got accept answer of topic: 2442, post: 10297
__main__: 2024-11-18 17:07:04,855 | INFO | asktug.py:75 | 84360 >>> Start to get accept answer, topic id: 2442
__main__: 2024-11-18 17:07:05,076 | INFO | asktug.py:43 | 84360 >>> Got accept answer of topic: 2442, post: 10297
__main__: 2024-11-18 17:07:05,077 | INFO | asktug.py:75 | 84360 >>> Start to get accept answer, topic id: 2442
__main__: 2024-11-18 17:07:05,305 | INFO | asktug.py:43 | 84360 >>> Got accept answer of topic: 2442, post: 10297
__main__: 2024-11-18 17:07:05,305 | INFO | asktug.py:75 | 84360 >>> Start to get accept answer, topic id: 2442
__main__: 2024-11-18 17:07:05,532 | INFO | asktug.py:43 | 84360 >>> Got accept answer of topic: 2442, post: 10297
__main__: 2024-11-18 17:07:05,532 | INFO | asktug.py:75 | 84360 >>> Start to get accept answer, topic id: 2442
__main__: 2024-11-18 17:07:05,793 | INFO | asktug.py:43 | 84360 >>> Got accept answer of topic: 2442, post: 10297
__main__: 2024-11-18 17:07:05,793 | INFO | asktug.py:75 | 84360 >>> Start to get accept answer, topic id: 2442
__main__: 2024-11-18 17:07:06,041 | INFO | asktug.py:43 | 84360 >>> Got accept answer of topic: 2442, post: 10297
__main__: 2024-11-18 17:07:06,041 | INFO | asktug.py:75 | 84360 >>> Start to get accept answer, topic id: 2442
__main__: 2024-11-18 17:07:06,325 | INFO | asktug.py:43 | 84360 >>> Got accept answer of topic: 2442, post: 10297
__main__: 2024-11-18 17:07:06,325 | INFO | asktug.py:75 | 84360 >>> Start to get accept answer, topic id: 2442
__main__: 2024-11-18 17:07:06,547 | INFO | asktug.py:43 | 84360 >>> Got accept answer of topic: 2442, post: 10297
__main__: 2024-11-18 17:07:06,547 | INFO | asktug.py:75 | 84360 >>> Start to get accept answer, topic id: 2442
__main__: 2024-11-18 17:07:06,777 | INFO | asktug.py:43 | 84360 >>> Got accept answer of topic: 2442, post: 10297
__main__: 2024-11-18 17:07:06,777 | INFO | asktug.py:75 | 84360 >>> Start to get accept answer, topic id: 2442
__main__: 2024-11-18 17:07:07,018 | INFO | asktug.py:43 | 84360 >>> Got accept answer of topic: 2442, post: 10297
__main__: 2024-11-18 17:07:07,018 | INFO | asktug.py:75 | 84360 >>> Start to get accept answer, topic id: 2442
__main__: 2024-11-18 17:07:07,243 | INFO | asktug.py:43 | 84360 >>> Got accept answer of topic: 2442, post: 10297
__main__: 2024-11-18 17:07:07,243 | INFO | asktug.py:75 | 84360 >>> Start to get accept answer, topic id: 2442
__main__: 2024-11-18 17:07:07,462 | INFO | asktug.py:43 | 84360 >>> Got accept answer of topic: 2442, post: 10297
__main__: 2024-11-18 17:07:07,462 | INFO | asktug.py:75 | 84360 >>> Start to get accept answer, topic id: 2442
__main__: 2024-11-18 17:07:07,680 | INFO | asktug.py:43 | 84360 >>> Got accept answer of topic: 2442, post: 10297
__main__: 2024-11-18 17:07:07,680 | INFO | asktug.py:75 | 84360 >>> Start to get accept answer, topic id: 2442
__main__: 2024-11-18 17:07:07,932 | INFO | asktug.py:43 | 84360 >>> Got accept answer of topic: 2442, post: 10297
__main__: 2024-11-18 17:07:07,932 | INFO | asktug.py:75 | 84360 >>> Start to get accept answer, topic id: 2442
__main__: 2024-11-18 17:07:08,184 | INFO | asktug.py:43 | 84360 >>> Got accept answer of topic: 2442, post: 10297
__main__: 2024-11-18 17:07:08,184 | INFO | asktug.py:75 | 84360 >>> Start to get accept answer, topic id: 2442
__main__: 2024-11-18 17:07:08,403 | INFO | asktug.py:43 | 84360 >>> Got accept answer of topic: 2442, post: 10297
__main__: 2024-11-18 17:07:08,403 | INFO | asktug.py:75 | 84360 >>> Start to get accept answer, topic id: 2442
__main__: 2024-11-18 17:07:08,631 | INFO | asktug.py:43 | 84360 >>> Got accept answer of topic: 2442, post: 10297
__main__: 2024-11-18 17:07:08,631 | INFO | asktug.py:75 | 84360 >>> Start to get accept answer, topic id: 2442
__main__: 2024-11-18 17:07:08,886 | INFO | asktug.py:43 | 84360 >>> Got accept answer of topic: 2442, post: 10297
__main__: 2024-11-18 17:07:08,886 | INFO | asktug.py:75 | 84360 >>> Start to get accept answer, topic id: 2442
__main__: 2024-11-18 17:07:09,113 | INFO | asktug.py:43 | 84360 >>> Got accept answer of topic: 2442, post: 10297
__main__: 2024-11-18 17:07:09,114 | INFO | asktug.py:75 | 84360 >>> Start to get accept answer, topic id: 2442
__main__: 2024-11-18 17:07:09,367 | INFO | asktug.py:43 | 84360 >>> Got accept answer of topic: 2442, post: 10297
__main__: 2024-11-18 17:07:09,367 | INFO | asktug.py:75 | 84360 >>> Start to get accept answer, topic id: 2442
__main__: 2024-11-18 17:07:09,622 | INFO | asktug.py:43 | 84360 >>> Got accept answer of topic: 2442, post: 10297
__main__: 2024-11-18 17:07:09,622 | INFO | asktug.py:75 | 84360 >>> Start to get accept answer, topic id: 2442
__main__: 2024-11-18 17:07:09,850 | INFO | asktug.py:43 | 84360 >>> Got accept answer of topic: 2442, post: 10297
__main__: 2024-11-18 17:07:09,850 | INFO | asktug.py:75 | 84360 >>> Start to get accept answer, topic id: 2442
__main__: 2024-11-18 17:07:10,091 | INFO | asktug.py:43 | 84360 >>> Got accept answer of topic: 2442, post: 10297
__main__: 2024-11-18 17:07:10,091 | INFO | asktug.py:75 | 84360 >>> Start to get accept answer, topic id: 2442
__main__: 2024-11-18 17:07:10,341 | INFO | asktug.py:43 | 84360 >>> Got accept answer of topic: 2442, post: 10297
__main__: 2024-11-18 17:07:10,342 | INFO | asktug.py:75 | 84360 >>> Start to get accept answer, topic id: 2442
__main__: 2024-11-18 17:07:10,565 | INFO | asktug.py:43 | 84360 >>> Got accept answer of topic: 2442, post: 10297
__main__: 2024-11-18 17:07:10,565 | INFO | asktug.py:75 | 84360 >>> Start to get accept answer, topic id: 2442
__main__: 2024-11-18 17:07:10,804 | INFO | asktug.py:43 | 84360 >>> Got accept answer of topic: 2442, post: 10297
__main__: 2024-11-18 17:07:10,804 | INFO | asktug.py:75 | 84360 >>> Start to get accept answer, topic id: 2442
__main__: 2024-11-18 17:07:11,051 | INFO | asktug.py:43 | 84360 >>> Got accept answer of topic: 2442, post: 10297
__main__: 2024-11-18 17:07:11,051 | INFO | asktug.py:75 | 84360 >>> Start to get accept answer, topic id: 2442
__main__: 2024-11-18 17:07:11,283 | INFO | asktug.py:43 | 84360 >>> Got accept answer of topic: 2442, post: 10297
__main__: 2024-11-18 17:07:11,284 | INFO | asktug.py:75 | 84360 >>> Start to get accept answer, topic id: 2442
__main__: 2024-11-18 17:07:11,524 | INFO | asktug.py:43 | 84360 >>> Got accept answer of topic: 2442, post: 10297
__main__: 2024-11-18 17:07:11,524 | INFO | asktug.py:75 | 84360 >>> Start to get accept answer, topic id: 2442
__main__: 2024-11-18 17:07:11,772 | INFO | asktug.py:43 | 84360 >>> Got accept answer of topic: 2442, post: 10297
__main__: 2024-11-18 17:07:11,773 | INFO | asktug.py:75 | 84360 >>> Start to get accept answer, topic id: 2442
__main__: 2024-11-18 17:07:11,985 | INFO | asktug.py:43 | 84360 >>> Got accept answer of topic: 2442, post: 10297
__main__: 2024-11-18 17:07:11,985 | INFO | asktug.py:75 | 84360 >>> Start to get accept answer, topic id: 2442
__main__: 2024-11-18 17:07:12,220 | INFO | asktug.py:43 | 84360 >>> Got accept answer of topic: 2442, post: 10297
__main__: 2024-11-18 17:07:12,220 | INFO | asktug.py:75 | 84360 >>> Start to get accept answer, topic id: 2442
__main__: 2024-11-18 17:07:12,458 | INFO | asktug.py:43 | 84360 >>> Got accept answer of topic: 2442, post: 10297
__main__: 2024-11-18 17:07:12,458 | INFO | asktug.py:75 | 84360 >>> Start to get accept answer, topic id: 2442
__main__: 2024-11-18 17:07:12,700 | INFO | asktug.py:43 | 84360 >>> Got accept answer of topic: 2442, post: 10297
__main__: 2024-11-18 17:07:12,700 | INFO | asktug.py:75 | 84360 >>> Start to get accept answer, topic id: 2442
__main__: 2024-11-18 17:07:12,936 | INFO | asktug.py:43 | 84360 >>> Got accept answer of topic: 2442, post: 10297
__main__: 2024-11-18 17:07:12,936 | INFO | asktug.py:75 | 84360 >>> Start to get accept answer, topic id: 2442
__main__: 2024-11-18 17:07:13,165 | INFO | asktug.py:43 | 84360 >>> Got accept answer of topic: 2442, post: 10297
__main__: 2024-11-18 17:07:13,165 | INFO | asktug.py:75 | 84360 >>> Start to get accept answer, topic id: 2442
__main__: 2024-11-18 17:07:13,411 | INFO | asktug.py:43 | 84360 >>> Got accept answer of topic: 2442, post: 10297
__main__: 2024-11-18 17:07:13,411 | INFO | asktug.py:75 | 84360 >>> Start to get accept answer, topic id: 2442
__main__: 2024-11-18 17:07:13,643 | INFO | asktug.py:43 | 84360 >>> Got accept answer of topic: 2442, post: 10297
__main__: 2024-11-18 17:07:13,643 | INFO | asktug.py:75 | 84360 >>> Start to get accept answer, topic id: 2442
